process,mean_energy_eV,energy_loss_coeff_eV_m3_s,EoverN_Td
C12 Ar Excitation 13.28 eV,9.84924,6.57818e-16,429.822
C12 Ar Excitation 13.28 eV,10.2604,7.27153e-16,476.149
C12 Ar Excitation 13.28 eV,10.6991,7.97544e-16,524.851
C12 Ar Excitation 13.28 eV,11.1681,8.68511e-16,575.93
C12 Ar Excitation 13.28 eV,11.6671,9.3922e-16,629.384
C12 Ar Excitation 13.28 eV,12.2021,1.00989e-15,685.214
C12 Ar Excitation 13.28 eV,12.7745,1.07967e-15,743.42
C12 Ar Excitation 13.28 eV,13.3861,1.14798e-15,804.001
C12 Ar Excitation 13.28 eV,14.0422,1.21504e-15,866.958
C12 Ar Excitation 13.28 eV,14.7433,1.27981e-15,932.291
C12 Ar Excitation 13.28 eV,15.4923,1.34213e-15,1000.0
C13 Ar Excitation 13.30 eV,2.4075,-1.69737e-238,1.0
C13 Ar Excitation 13.30 eV,3.52837,3.76792e-30,2.18787
C13 Ar Excitation 13.30 eV,5.08509,3.25789e-21,5.75149
C13 Ar Excitation 13.30 eV,5.39609,3.10594e-19,11.6908
C13 Ar Excitation 13.30 eV,5.62479,2.42178e-18,20.0059
C13 Ar Excitation 13.30 eV,5.85972,8.3065e-18,30.6968
C13 Ar Excitation 13.30 eV,6.09482,1.93509e-17,43.7634
C13 Ar Excitation 13.30 eV,6.32848,3.62611e-17,59.2057
C13 Ar Excitation 13.30 eV,6.56248,5.9306e-17,77.0238
C13 Ar Excitation 13.30 eV,6.80014,8.85657e-17,97.2176
C13 Ar Excitation 13.30 eV,7.04422,1.24013e-16,119.787
C13 Ar Excitation 13.30 eV,7.29691,1.65622e-16,144.732
C13 Ar Excitation 13.30 eV,7.56043,2.13308e-16,172.054
C13 Ar Excitation 13.30 eV,7.83628,2.66899e-16,201.75
C13 Ar Excitation 13.30 eV,8.12637,3.26281e-16,233.823
C13 Ar Excitation 13.30 eV,8.43263,3.91302e-16,268.271
C13 Ar Excitation 13.30 eV,8.756,4.61872e-16,305.095
C13 Ar Excitation 13.30 eV,9.09866,5.37806e-16,344.295
C13 Ar Excitation 13.30 eV,9.46271,6.1902e-16,385.87
C13 Ar Excitation 13.30 eV,9.84924,7.05165e-16,429.822
C13 Ar Excitation 13.30 eV,10.2604,7.96088e-16,476.149
C13 Ar Excitation 13.30 eV,10.6991,8.91749e-16,524.851
C13 Ar Excitation 13.30 eV,11.1681,9.91811e-16,575.93
C13 Ar Excitation 13.30 eV,11.6671,1.0955e-15,629.384
C13 Ar Excitation 13.30 eV,12.2021,1.20323e-15,685.214
C13 Ar Excitation 13.30 eV,12.7745,1.31418e-15,743.42
C13 Ar Excitation 13.30 eV,13.3861,1.42759e-15,804.001
C13 Ar Excitation 13.30 eV,14.0422,1.54375e-15,866.958
C13 Ar Excitation 13.30 eV,14.7433,1.66153e-15,932.291
C13 Ar Excitation 13.30 eV,15.4923,1.78047e-15,1000.0
C14 Ar Excitation 13.33 eV,2.4075,-4.58587e-239,1.0
C14 Ar Excitation 13.33 eV,3.52837,2.37262e-30,2.18787
C14 Ar Excitation 13.33 eV,5.08509,2.39402e-21,5.75149
C14 Ar Excitation 13.33 eV,5.39609,2.34993e-19,11.6908
C14 Ar Excitation 13.33 eV,5.62479,1.83033e-18,20.0059
C14 Ar Excitation 13.33 eV,5.85972,6.20647e-18,30.6968
C14 Ar Excitation 13.33 eV,6.09482,1.42319e-17,43.7634
C14 Ar Excitation 13.33 eV,6.32848,2.61963e-17,59.2057
