process,mean_energy_eV,rate_coefficient_m3_s,EoverN_Td
C27 Ar Excitation 14.30 eV,8.43263,4.58184e-17,268.271
C27 Ar Excitation 14.30 eV,8.756,5.96929e-17,305.095
C27 Ar Excitation 14.30 eV,9.09866,7.61126e-17,344.295
C27 Ar Excitation 14.30 eV,9.46271,9.52926e-17,385.87
C27 Ar Excitation 14.30 eV,9.84924,1.17406e-16,429.822
C27 Ar Excitation 14.30 eV,10.2604,1.42654e-16,476.149
C27 Ar Excitation 14.30 eV,10.6991,1.71249e-16,524.851
C27 Ar Excitation 14.30 eV,11.1681,2.03353e-16,575.93
C27 Ar Excitation 14.30 eV,11.6671,2.39023e-16,629.384
C27 Ar Excitation 14.30 eV,12.2021,2.78548e-16,685.214
C27 Ar Excitation 14.30 eV,12.7745,3.21991e-16,743.42
C27 Ar Excitation 14.30 eV,13.3861,3.69231e-16,804.001
C27 Ar Excitation 14.30 eV,14.0422,4.20467e-16,866.958
C27 Ar Excitation 14.30 eV,14.7433,4.75617e-16,932.291
C27 Ar Excitation 14.30 eV,15.4923,5.34519e-16,1000.0
C28 Ar Excitation 14.46 eV,2.4075,0.0,1.0
C28 Ar Excitation 14.46 eV,3.52837,2.92245e-39,2.18787
C28 Ar Excitation 14.46 eV,5.08509,2.87792e-26,5.75149
C28 Ar Excitation 14.46 eV,5.39609,4.79502e-23,11.6908
C28 Ar Excitation 14.46 eV,5.62479,1.22462e-21,20.0059
C28 Ar Excitation 14.46 eV,5.85972,7.65448e-21,30.6968
C28 Ar Excitation 14.46 eV,6.09482,2.51962e-20,43.7634
C28 Ar Excitation 14.46 eV,6.32848,5.86871e-20,59.2057
C28 Ar Excitation 14.46 eV,6.56248,1.11044e-19,77.0238
C28 Ar Excitation 14.46 eV,6.80014,1.83598e-19,97.2176
C28 Ar Excitation 14.46 eV,7.04422,2.76547e-19,119.787
C28 Ar Excitation 14.46 eV,7.29691,3.89568e-19,144.732
C28 Ar Excitation 14.46 eV,7.56043,5.21816e-19,172.054
C28 Ar Excitation 14.46 eV,7.83628,6.72058e-19,201.75
C28 Ar Excitation 14.46 eV,8.12637,8.39048e-19,233.823
C28 Ar Excitation 14.46 eV,8.43263,1.02141e-18,268.271
C28 Ar Excitation 14.46 eV,8.756,1.21787e-18,305.095
C28 Ar Excitation 14.46 eV,9.09866,1.427e-18,344.295
C28 Ar Excitation 14.46 eV,9.46271,1.64757e-18,385.87
C28 Ar Excitation 14.46 eV,9.84924,1.87768e-18,429.822
C28 Ar Excitation 14.46 eV,10.2604,2.11604e-18,476.149
C28 Ar Excitation 14.46 eV,10.6991,2.36172e-18,524.851
C28 Ar Excitation 14.46 eV,11.1681,2.61295e-18,575.93
C28 Ar Excitation 14.46 eV,11.6671,2.86697e-18,629.384
C28 Ar Excitation 14.46 eV,12.2021,3.12412e-18,685.214
C28 Ar Excitation 14.46 eV,12.7745,3.38143e-18,743.42
C28 Ar Excitation 14.46 eV,13.3861,3.63676e-18,804.001
C28 Ar Excitation 14.46 eV,14.0422,3.89025e-18,866.958
C28 Ar Excitation 14.46 eV,14.7433,4.13854e-18,932.291
C28 Ar Excitation 14.46 eV,15.4923,4.38042e-18,1000.0
C29 Ar Excitation 14.50 eV,2.4075,0.0,1.0
C29 Ar Excitation 14.50 eV,3.52837,2.56735e-39,2.18787
C29 Ar Excitation 14.50 eV,5.08509,3.54499e-26,5.75149
C29 Ar Excitation 14.50 eV,5.39609,6.56753e-23,11.6908
C29 Ar Excitation 14.50 eV,5.62479,1.75141e-21,20.0059
C29 Ar Excitation 14.50 eV,5.85972,1.11865e-20,30.6968
C29 Ar Excitation 14.50 eV,6.09482,3.72881e-20,43.7634
C29 Ar Excitation 14.50 eV,6.32848,8.7556e-20,59.2057
C29 Ar Excitation 14.50 eV,6.56248,1.66596e-19,77.0238
C29 Ar Excitation 14.50 eV,6.80014,2.76577e-19,97.2176
C29 Ar Excitation 14.50 eV,7.04422,4.17896e-19,119.787
C29 Ar Excitation 14.50 eV,7.29691,5.90125e-19,144.732
C29 Ar Excitation 14.50 eV,7.56043,7.92016e-19,172.054
C29 Ar Excitation 14.50 eV,7.83628,1.02171e-18,201.75
C29 Ar Excitation 14.50 eV,8.12637,1.27733e-18,233.823
C29 Ar Excitation 14.50 eV,8.43263,1.55675e-18,268.271
C29 Ar Excitation 14.50 eV,8.756,1.85803e-18,305.095
C29 Ar Excitation 14.50 eV,9.09866,2.17899e-18,344.295
C29 Ar Excitation 14.50 eV,9.46271,2.51773e-18,385.87
C29 Ar Excitation 14.50 eV,9.84924,2.87131e-18,429.822
C29 Ar Excitation 14.50 eV,10.2604,3.23776e-18,476.149
C29 Ar Excitation 14.50 eV,10.6991,3.61566e-18,524.851
C29 Ar Excitation 14.50 eV,11.1681,4.00225e-18,575.93
C29 Ar Excitation 14.50 eV,11.6671,4.3933e-18,629.384
C29 Ar Excitation 14.50 eV,12.2021,4.78934e-18,685.214
C29 Ar Excitation 14.50 eV,12.7745,5.18576e-18,743.42
C29 Ar Excitation 14.50 eV,13.3861,5.5793e-18,804.001
C29 Ar Excitation 14.50 eV,14.0422,5.97013e-18,866.958
C29 Ar Excitation 14.50 eV,14.7433,6.3531e-18,932.291
C29 Ar Excitation 14.50 eV,15.4923,6.7263e-18,1000.0
C30 Ar Excitation 14.50 eV,2.4075,0.0,1.0
C30 Ar Excitation 14.50 eV,3.52837,2.70476e-39,2.18787
C30 Ar Excitation 14.50 eV,5.08509,4.03161e-26,5.75149
C30 Ar Excitation 14.50 eV,5.39609,7.75525e-23,11.6908
C30 Ar Excitation 14.50 eV,5.62479,2.12652e-21,20.0059
C30 Ar Excitation 14.50 eV,5.85972,1.39202e-20,30.6968
C30 Ar Excitation 14.50 eV,6.09482,4.74957e-20,43.7634
C30 Ar Excitation 14.50 eV,6.32848,1.14088e-19,59.2057
C30 Ar Excitation 14.50 eV,6.56248,2.21992e-19,77.0238
C30 Ar Excitation 14.50 eV,6.80014,3.76785e-19,97.2176
C30 Ar Excitation 14.50 eV,7.04422,5.81903e-19,119.787
C30 Ar Excitation 14.50 eV,7.29691,8.39723e-19,144.732
C30 Ar Excitation 14.50 eV,7.56043,1.15148e-18,172.054
C30 Ar Excitation 14.50 eV,7.83628,1.51742e-18,201.75
C30 Ar Excitation 14.50 eV,8.12637,1.93763e-18,233.823
C30 Ar Excitation 14.50 eV,8.43263,2.41172e-18,268.271
C30 Ar Excitation 14.50 eV,8.756,2.93944e-18,305.095
C30 Ar Excitation 14.50 eV,9.09866,3.51995e-18,344.295
C30 Ar Excitation 14.50 eV,9.46271,4.15278e-18,385.87
C30 Ar Excitation 14.50 eV,9.84924,4.83559e-18,429.822
C30 Ar Excitation 14.50 eV,10.2604,5.56743e-18,476.149
C30 Ar Excitation 14.50 eV,10.6991,6.34808e-18,524.851
C30 Ar Excitation 14.50 eV,11.1681,7.17495e-18,575.93
C30 Ar Excitation 14.50 eV,11.6671,8.04246e-18,629.384
C30 Ar Excitation 14.50 eV,12.2021,8.95338e-18,685.214
C30 Ar Excitation 14.50 eV,12.7745,9.90143e-18,743.42
C30 Ar Excitation 14.50 eV,13.3861,1.08803e-17,804.001
C30 Ar Excitation 14.50 eV,14.0422,1.18913e-17,866.958
C30 Ar Excitation 14.50 eV,14.7433,1.2926e-17,932.291
C30 Ar Excitation 14.50 eV,15.4923,1.39791e-17,1000.0
C31 Ar Excitation 14.52 eV,2.4075,0.0,1.0
C31 Ar Excitation 14.52 eV,3.52837,2.56947e-39,2.18787
C31 Ar Excitation 14.52 eV,5.08509,4.56139e-26,5.75149
C31 Ar Excitation 14.52 eV,5.39609,9.13718e-23,11.6908
C31 Ar Excitation 14.52 eV,5.62479,2.51573e-21,20.0059
C31 Ar Excitation 14.52 eV,5.85972,1.63275e-20,30.6968
C31 Ar Excitation 14.52 eV,6.09482,5.49332e-20,43.7634
C31 Ar Excitation 14.52 eV,6.32848,1.29764e-19,59.2057
C31 Ar Excitation 14.52 eV,6.56248,2.47935e-19,77.0238
C31 Ar Excitation 14.52 eV,6.80014,4.12868e-19,97.2176
C31 Ar Excitation 14.52 eV,7.04422,6.25284e-19,119.787
C31 Ar Excitation 14.52 eV,7.29691,8.84622e-19,144.732
C31 Ar Excitation 14.52 eV,7.56043,1.18906e-18,172.054
C31 Ar Excitation 14.52 eV,7.83628,1.53585e-18,201.75
C31 Ar Excitation 14.52 eV,8.12637,1.92214e-18,233.823
C31 Ar Excitation 14.52 eV,8.43263,2.34475e-18,268.271
C31 Ar Excitation 14.52 eV,8.756,2.80077e-18,305.095
C31 Ar Excitation 14.52 eV,9.09866,3.28684e-18,344.295
C31 Ar Excitation 14.52 eV,9.46271,3.80009e-18,385.87
C31 Ar Excitation 14.52 eV,9.84924,4.33607e-18,429.822
C31 Ar Excitation 14.52 eV,10.2604,4.89178e-18,476.149
C31 Ar Excitation 14.52 eV,10.6991,5.46504e-18,524.851
C31 Ar Excitation 14.52 eV,11.1681,6.05167e-18,575.93
C31 Ar Excitation 14.52 eV,11.6671,6.64524e-18,629.384
C31 Ar Excitation 14.52 eV,12.2021,7.24655e-18,685.214
C31 Ar Excitation 14.52 eV,12.7745,7.84857e-18,743.42
C31 Ar Excitation 14.52 eV,13.3861,8.44638e-18,804.001
C31 Ar Excitation 14.52 eV,14.0422,9.0402e-18,866.958
C31 Ar Excitation 14.52 eV,14.7433,9.6222e-18,932.291
C31 Ar Excitation 14.52 eV,15.4923,1.01895e-17,1000.0
C32 Ar Excitation 14.53 eV,2.4075,0.0,1.0
C32 Ar Excitation 14.53 eV,3.52837,1.66904e-39,2.18787
C32 Ar Excitation 14.53 eV,5.08509,3.11811e-26,5.75149
C32 Ar Excitation 14.53 eV,5.39609,6.42971e-23,11.6908
C32 Ar Excitation 14.53 eV,5.62479,1.81411e-21,20.0059
C32 Ar Excitation 14.53 eV,5.85972,1.20468e-20,30.6968
C32 Ar Excitation 14.53 eV,6.09482,4.14477e-20,43.7634
C32 Ar Excitation 14.53 eV,6.32848,1.00094e-19,59.2057
C32 Ar Excitation 14.53 eV,6.56248,1.95484e-19,77.0238
C32 Ar Excitation 14.53 eV,6.80014,3.32684e-19,97.2176
C32 Ar Excitation 14.53 eV,7.04422,5.14831e-19,119.787
C32 Ar Excitation 14.53 eV,7.29691,7.44107e-19,144.732
C32 Ar Excitation 14.53 eV,7.56043,1.02166e-18,172.054
C32 Ar Excitation 14.53 eV,7.83628,1.34776e-18,201.75
C32 Ar Excitation 14.53 eV,8.12637,1.72252e-18,233.823
C32 Ar Excitation 14.53 eV,8.43263,2.14563e-18,268.271
C32 Ar Excitation 14.53 eV,8.756,2.61689e-18,305.095
C32 Ar Excitation 14.53 eV,9.09866,3.13558e-18,344.295
C32 Ar Excitation 14.53 eV,9.46271,3.70127e-18,385.87
C32 Ar Excitation 14.53 eV,9.84924,4.31192e-18,429.822
C32 Ar Excitation 14.53 eV,10.2604,4.96666e-18,476.149
C32 Ar Excitation 14.53 eV,10.6991,5.6653e-18,524.851
C32 Ar Excitation 14.53 eV,11.1681,6.40555e-18,575.93
C32 Ar Excitation 14.53 eV,11.6671,7.18243e-18,629.384
C32 Ar Excitation 14.53 eV,12.2021,7.99838e-18,685.214
C32 Ar Excitation 14.53 eV,12.7745,8.84782e-18,743.42
C32 Ar Excitation 14.53 eV,13.3861,9.72513e-18,804.001
C32 Ar Excitation 14.53 eV,14.0422,1.06314e-17,866.958
C32 Ar Excitation 14.53 eV,14.7433,1.1559e-17,932.291
C32 Ar Excitation 14.53 eV,15.4923,1.25034e-17,1000.0
C33 Ar Excitation 14.57 eV,2.4075,0.0,1.0
C33 Ar Excitation 14.57 eV,3.52837,1.38109e-39,2.18787
C33 Ar Excitation 14.57 eV,5.08509,4.14806e-26,5.75149
C33 Ar Excitation 14.57 eV,5.39609,9.71106e-23,11.6908
C33 Ar Excitation 14.57 eV,5.62479,2.84875e-21,20.0059
C33 Ar Excitation 14.57 eV,5.85972,1.90848e-20,30.6968
C33 Ar Excitation 14.57 eV,6.09482,6.54069e-20,43.7634
C33 Ar Excitation 14.57 eV,6.32848,1.56355e-19,59.2057
C33 Ar Excitation 14.57 eV,6.56248,3.01218e-19,77.0238
C33 Ar Excitation 14.57 eV,6.80014,5.04631e-19,97.2176
C33 Ar Excitation 14.57 eV,7.04422,7.67756e-19,119.787
C33 Ar Excitation 14.57 eV,7.29691,1.09006e-18,144.732
C33 Ar Excitation 14.57 eV,7.56043,1.46936e-18,172.054
C33 Ar Excitation 14.57 eV,7.83628,1.90227e-18,201.75
C33 Ar Excitation 14.57 eV,8.12637,2.38525e-18,233.823
C33 Ar Excitation 14.57 eV,8.43263,2.91434e-18,268.271
C33 Ar Excitation 14.57 eV,8.756,3.48585e-18,305.095
C33 Ar Excitation 14.57 eV,9.09866,4.09562e-18,344.295
C33 Ar Excitation 14.57 eV,9.46271,4.74001e-18,385.87
C33 Ar Excitation 14.57 eV,9.84924,5.41345e-18,429.822
C33 Ar Excitation 14.57 eV,10.2604,6.11215e-18,476.149
C33 Ar Excitation 14.57 eV,10.6991,6.83338e-18,524.851
C33 Ar Excitation 14.57 eV,11.1681,7.57189e-18,575.93
C33 Ar Excitation 14.57 eV,11.6671,8.3196e-18,629.384
C33 Ar Excitation 14.57 eV,12.2021,9.07747e-18,685.214
C33 Ar Excitation 14.57 eV,12.7745,9.83669e-18,743.42
C33 Ar Excitation 14.57 eV,13.3861,1.0591e-17,804.001
C33 Ar Excitation 14.57 eV,14.0422,1.13407e-17,866.958
C33 Ar Excitation 14.57 eV,14.7433,1.2076e-17,932.291
C33 Ar Excitation 14.57 eV,15.4923,1.2793e-17,1000.0
C34 Ar Excitation 14.68 eV,2.4075,0.0,1.0
C34 Ar Excitation 14.68 eV,3.52837,1.12925e-40,2.18787
C34 Ar Excitation 14.68 eV,5.08509,1.26166e-26,5.75149
C34 Ar Excitation 14.68 eV,5.39609,4.09163e-23,11.6908
C34 Ar Excitation 14.68 eV,5.62479,1.37079e-21,20.0059
C34 Ar Excitation 14.68 eV,5.85972,9.81407e-21,30.6968
C34 Ar Excitation 14.68 eV,6.09482,3.49618e-20,43.7634
C34 Ar Excitation 14.68 eV,6.32848,8.56832e-20,59.2057
C34 Ar Excitation 14.68 eV,6.56248,1.6794e-19,77.0238
C34 Ar Excitation 14.68 eV,6.80014,2.84904e-19,97.2176
C34 Ar Excitation 14.68 eV,7.04422,4.37595e-19,119.787
C34 Ar Excitation 14.68 eV,7.29691,6.25922e-19,144.732
C34 Ar Excitation 14.68 eV,7.56043,8.48754e-19,172.054
C34 Ar Excitation 14.68 eV,7.83628,1.10419e-18,201.75
C34 Ar Excitation 14.68 eV,8.12637,1.39021e-18,233.823
C34 Ar Excitation 14.68 eV,8.43263,1.70447e-18,268.271
C34 Ar Excitation 14.68 eV,8.756,2.04481e-18,305.095
C34 Ar Excitation 14.68 eV,9.09866,2.40875e-18,344.295
C34 Ar Excitation 14.68 eV,9.46271,2.79411e-18,385.87
C34 Ar Excitation 14.68 eV,9.84924,3.19756e-18,429.822
C34 Ar Excitation 14.68 eV,10.2604,3.61681e-18,476.149
C34 Ar Excitation 14.68 eV,10.6991,4.05022e-18,524.851
C34 Ar Excitation 14.68 eV,11.1681,4.49459e-18,575.93
C34 Ar Excitation 14.68 eV,11.6671,4.94511e-18,629.384
C34 Ar Excitation 14.68 eV,12.2021,5.40229e-18,685.214
C34 Ar Excitation 14.68 eV,12.7745,5.86084e-18,743.42
C34 Ar Excitation 14.68 eV,13.3861,6.31697e-18,804.001
C34 Ar Excitation 14.68 eV,14.0422,6.77077e-18,866.958
C34 Ar Excitation 14.68 eV,14.7433,7.21631e-18,932.291
C34 Ar Excitation 14.68 eV,15.4923,7.65127e-18,1000.0
C35 Ar Excitation 14.68 eV,2.4075,0.0,1.0
C35 Ar Excitation 14.68 eV,3.52837,6.06615e-41,2.18787
C35 Ar Excitation 14.68 eV,5.08509,7.45987e-27,5.75149
C35 Ar Excitation 14.68 eV,5.39609,2.46487e-23,11.6908
C35 Ar Excitation 14.68 eV,5.62479,8.32197e-22,20.0059
C35 Ar Excitation 14.68 eV,5.85972,5.98151e-21,30.6968
C35 Ar Excitation 14.68 eV,6.09482,2.13576e-20,43.7634
C35 Ar Excitation 14.68 eV,6.32848,5.24193e-20,59.2057
C35 Ar Excitation 14.68 eV,6.56248,1.02846e-19,77.0238
C35 Ar Excitation 14.68 eV,6.80014,1.74602e-19,97.2176
C35 Ar Excitation 14.68 eV,7.04422,2.68325e-19,119.787
C35 Ar Excitation 14.68 eV,7.29691,3.83966e-19,144.732
C35 Ar Excitation 14.68 eV,7.56043,5.20834e-19,172.054
C35 Ar Excitation 14.68 eV,7.83628,6.77769e-19,201.75
C35 Ar Excitation 14.68 eV,8.12637,8.53519e-19,233.823
C35 Ar Excitation 14.68 eV,8.43263,1.04666e-18,268.271
C35 Ar Excitation 14.68 eV,8.756,1.25586e-18,305.095
C35 Ar Excitation 14.68 eV,9.09866,1.47959e-18,344.295
C35 Ar Excitation 14.68 eV,9.46271,1.71651e-18,385.87
C35 Ar Excitation 14.68 eV,9.84924,1.96458e-18,429.822
C35 Ar Excitation 14.68 eV,10.2604,2.2224e-18,476.149
C35 Ar Excitation 14.68 eV,10.6991,2.48894e-18,524.851
C35 Ar Excitation 14.68 eV,11.1681,2.76225e-18,575.93
C35 Ar Excitation 14.68 eV,11.6671,3.03936e-18,629.384
C35 Ar Excitation 14.68 eV,12.2021,3.32059e-18,685.214
C35 Ar Excitation 14.68 eV,12.7745,3.60269e-18,743.42
C35 Ar Excitation 14.68 eV,13.3861,3.88332e-18,804.001
C35 Ar Excitation 14.68 eV,14.0422,4.16254e-18,866.958
C35 Ar Excitation 14.68 eV,14.7433,4.4367e-18,932.291
C35 Ar Excitation 14.68 eV,15.4923,4.70436e-18,1000.0
C36 Ar Excitation 14.69 eV,2.4075,0.0,1.0
C36 Ar Excitation 14.69 eV,3.52837,7.57003e-41,2.18787
C36 Ar Excitation 14.69 eV,5.08509,9.76875e-27,5.75149
C36 Ar Excitation 14.69 eV,5.39609,3.30323e-23,11.6908
C36 Ar Excitation 14.69 eV,5.62479,1.13905e-21,20.0059
C36 Ar Excitation 14.69 eV,5.85972,8.35942e-21,30.6968
C36 Ar Excitation 14.69 eV,6.09482,3.04833e-20,43.7634
C36 Ar Excitation 14.69 eV,6.32848,7.64233e-20,59.2057
C36 Ar Excitation 14.69 eV,6.56248,1.53179e-19,77.0238
C36 Ar Excitation 14.69 eV,6.80014,2.6567e-19,97.2176
C36 Ar Excitation 14.69 eV,7.04422,4.1707e-19,119.787
C36 Ar Excitation 14.69 eV,7.29691,6.09604e-19,144.732
C36 Ar Excitation 14.69 eV,7.56043,8.44535e-19,172.054
C36 Ar Excitation 14.69 eV,7.83628,1.12232e-18,201.75
C36 Ar Excitation 14.69 eV,8.12637,1.4432e-18,233.823
C36 Ar Excitation 14.69 eV,8.43263,1.80703e-18,268.271
C36 Ar Excitation 14.69 eV,8.756,2.21372e-18,305.095
C36 Ar Excitation 14.69 eV,9.09866,2.66273e-18,344.295
C36 Ar Excitation 14.69 eV,9.46271,3.15373e-18,385.87
C36 Ar Excitation 14.69 eV,9.84924,3.68501e-18,429.822
C36 Ar Excitation 14.69 eV,10.2604,4.25585e-18,476.149
C36 Ar Excitation 14.69 eV,10.6991,4.8661e-18,524.851
C36 Ar Excitation 14.69 eV,11.1681,5.51379e-18,575.93
C36 Ar Excitation 14.69 eV,11.6671,6.19463e-18,629.384
C36 Ar Excitation 14.69 eV,12.2021,6.91074e-18,685.214
C36 Ar Excitation 14.69 eV,12.7745,7.65726e-18,743.42
C36 Ar Excitation 14.69 eV,13.3861,8.42927e-18,804.001
C36 Ar Excitation 14.69 eV,14.0422,9.22764e-18,866.958
C36 Ar Excitation 14.69 eV,14.7433,1.00458e-17,932.291
C36 Ar Excitation 14.69 eV,15.4923,1.08797e-17,1000.0
C37 Ar Excitation 14.73 eV,2.4075,0.0,1.0
C37 Ar Excitation 14.73 eV,3.52837,5.39553e-41,2.18787
C37 Ar Excitation 14.73 eV,5.08509,1.87309e-26,5.75149
C37 Ar Excitation 14.73 eV,5.39609,7.38484e-23,11.6908
C37 Ar Excitation 14.73 eV,5.62479,2.71091e-21,20.0059
C37 Ar Excitation 14.73 eV,5.85972,2.05314e-20,30.6968
C37 Ar Excitation 14.73 eV,6.09482,7.62629e-20,43.7634
C37 Ar Excitation 14.73 eV,6.32848,1.93484e-19,59.2057
C37 Ar Excitation 14.73 eV,6.56248,3.9102e-19,77.0238
C37 Ar Excitation 14.73 eV,6.80014,6.82268e-19,97.2176
C37 Ar Excitation 14.73 eV,7.04422,1.07597e-18,119.787
C37 Ar Excitation 14.73 eV,7.29691,1.5783e-18,144.732
C37 Ar Excitation 14.73 eV,7.56043,2.19282e-18,172.054
C37 Ar Excitation 14.73 eV,7.83628,2.92095e-18,201.75
C37 Ar Excitation 14.73 eV,8.12637,3.76342e-18,233.823
C37 Ar Excitation 14.73 eV,8.43263,4.71998e-18,268.271
C37 Ar Excitation 14.73 eV,8.756,5.79048e-18,305.095
C37 Ar Excitation 14.73 eV,9.09866,6.97352e-18,344.295
C37 Ar Excitation 14.73 eV,9.46271,8.26831e-18,385.87
C37 Ar Excitation 14.73 eV,9.84924,9.67035e-18,429.822
C37 Ar Excitation 14.73 eV,10.2604,1.11778e-17,476.149
C37 Ar Excitation 14.73 eV,10.6991,1.27903e-17,524.851
C37 Ar Excitation 14.73 eV,11.1681,1.45026e-17,575.93
C37 Ar Excitation 14.73 eV,11.6671,1.63035e-17,629.384
C37 Ar Excitation 14.73 eV,12.2021,1.81986e-17,685.214
C37 Ar Excitation 14.73 eV,12.7745,2.0175e-17,743.42
C37 Ar Excitation 14.73 eV,13.3861,2.22198e-17,804.001
C37 Ar Excitation 14.73 eV,14.0422,2.43352e-17,866.958
C37 Ar Excitation 14.73 eV,14.7433,2.65038e-17,932.291
C37 Ar Excitation 14.73 eV,15.4923,2.87147e-17,1000.0
C38 Ar Excitation 14.80 eV,2.4075,0.0,1.0
C38 Ar Excitation 14.80 eV,3.52837,2.13916e-44,2.18787
C38 Ar Excitation 14.80 eV,5.08509,3.33894e-27,5.75149
C38 Ar Excitation 14.80 eV,5.39609,2.96493e-23,11.6908
C38 Ar Excitation 14.80 eV,5.62479,1.8123e-21,20.0059
C38 Ar Excitation 14.80 eV,5.85972,1.96439e-20,30.6968
C38 Ar Excitation 14.80 eV,6.09482,9.59778e-20,43.7634
C38 Ar Excitation 14.80 eV,6.32848,3.03478e-19,59.2057
C38 Ar Excitation 14.80 eV,6.56248,7.36807e-19,77.0238
C38 Ar Excitation 14.80 eV,6.80014,1.50372e-18,97.2176
C38 Ar Excitation 14.80 eV,7.04422,2.71776e-18,119.787
C38 Ar Excitation 14.80 eV,7.29691,4.49653e-18,144.732
C38 Ar Excitation 14.80 eV,7.56043,6.95808e-18,172.054
C38 Ar Excitation 14.80 eV,7.83628,1.02176e-17,201.75
C38 Ar Excitation 14.80 eV,8.12637,1.43907e-17,233.823
C38 Ar Excitation 14.80 eV,8.43263,1.95913e-17,268.271
C38 Ar Excitation 14.80 eV,8.756,2.59362e-17,305.095
C38 Ar Excitation 14.80 eV,9.09866,3.35352e-17,344.295
C38 Ar Excitation 14.80 eV,9.46271,4.25043e-17,385.87
C38 Ar Excitation 14.80 eV,9.84924,5.29412e-17,429.822
C38 Ar Excitation 14.80 eV,10.2604,6.49551e-17,476.149
C38 Ar Excitation 14.80 eV,10.6991,7.86603e-17,524.851
C38 Ar Excitation 14.80 eV,11.1681,9.41487e-17,575.93
C38 Ar Excitation 14.80 eV,11.6671,1.11462e-16,629.384
C38 Ar Excitation 14.80 eV,12.2021,1.30749e-16,685.214
C38 Ar Excitation 14.80 eV,12.7745,1.52056e-16,743.42
C38 Ar Excitation 14.80 eV,13.3861,1.7533e-16,804.001
C38 Ar Excitation 14.80 eV,14.0422,2.00676e-16,866.958
C38 Ar Excitation 14.80 eV,14.7433,2.28067e-16,932.291
C38 Ar Excitation 14.80 eV,15.4923,2.57425e-16,1000.0
C39 Ar Excitation 15.10 eV,2.4075,0.0,1.0
C39 Ar Excitation 15.10 eV,3.52837,0.0,2.18787
C39 Ar Excitation 15.10 eV,5.08509,5.75293e-28,5.75149
C39 Ar Excitation 15.10 eV,5.39609,1.34459e-23,11.6908
C39 Ar Excitation 15.10 eV,5.62479,1.22512e-21,20.0059
C39 Ar Excitation 15.10 eV,5.85972,1.62937e-20,30.6968
C39 Ar Excitation 15.10 eV,6.09482,8.99029e-20,43.7634
C39 Ar Excitation 15.10 eV,6.32848,3.0773e-19,59.2057
C39 Ar Excitation 15.10 eV,6.56248,7.89672e-19,77.0238
C39 Ar Excitation 15.10 eV,6.80014,1.67837e-18,97.2176
C39 Ar Excitation 15.10 eV,7.04422,3.12842e-18,119.787
C39 Ar Excitation 15.10 eV,7.29691,5.3024e-18,144.732
C39 Ar Excitation 15.10 eV,7.56043,8.36562e-18,172.054
C39 Ar Excitation 15.10 eV,7.83628,1.2481e-17,201.75
C39 Ar Excitation 15.10 eV,8.12637,1.7813e-17,233.823
C39 Ar Excitation 15.10 eV,8.43263,2.45242e-17,268.271
C39 Ar Excitation 15.10 eV,8.756,3.27814e-17,305.095
C39 Ar Excitation 15.10 eV,9.09866,4.27425e-17,344.295
C39 Ar Excitation 15.10 eV,9.46271,5.45739e-17,385.87
C39 Ar Excitation 15.10 eV,9.84924,6.84183e-17,429.822
C39 Ar Excitation 15.10 eV,10.2604,8.44335e-17,476.149
C39 Ar Excitation 15.10 eV,10.6991,1.02783e-16,524.851
C39 Ar Excitation 15.10 eV,11.1681,1.23602e-16,575.93
C39 Ar Excitation 15.10 eV,11.6671,1.46958e-16,629.384
C39 Ar Excitation 15.10 eV,12.2021,1.73061e-16,685.214
C39 Ar Excitation 15.10 eV,12.7745,2.01985e-16,743.42
C39 Ar Excitation 15.10 eV,13.3861,2.33667e-16,804.001
C39 Ar Excitation 15.10 eV,14.0422,2.68254e-16,866.958
C39 Ar Excitation 15.10 eV,14.7433,3.05719e-16,932.291
C39 Ar Excitation 15.10 eV,15.4923,3.45963e-16,1000.0
C40 Ar Excitation 15.35 eV,2.4075,0.0,1.0
C40 Ar Excitation 15.35 eV,3.52837,0.0,2.18787
C40 Ar Excitation 15.35 eV,5.08509,4.94863e-29,5.75149
C40 Ar Excitation 15.35 eV,5.39609,2.63285e-24,11.6908
C40 Ar Excitation 15.35 eV,5.62479,3.37766e-22,20.0059
C40 Ar Excitation 15.35 eV,5.85972,5.35288e-21,30.6968
C40 Ar Excitation 15.35 eV,6.09482,3.27659e-20,43.7634
C40 Ar Excitation 15.35 eV,6.32848,1.19961e-19,59.2057
C40 Ar Excitation 15.35 eV,6.56248,3.2254e-19,77.0238
C40 Ar Excitation 15.35 eV,6.80014,7.09225e-19,97.2176
C40 Ar Excitation 15.35 eV,7.04422,1.3564e-18,119.787
C40 Ar Excitation 15.35 eV,7.29691,2.34562e-18,144.732
C40 Ar Excitation 15.35 eV,7.56043,3.76086e-18,172.054
C40 Ar Excitation 15.35 eV,7.83628,5.6857e-18,201.75
C40 Ar Excitation 15.35 eV,8.12637,8.20488e-18,233.823
C40 Ar Excitation 15.35 eV,8.43263,1.14027e-17,268.271
C40 Ar Excitation 15.35 eV,8.756,1.53655e-17,305.095
C40 Ar Excitation 15.35 eV,9.09866,2.01756e-17,344.295
C40 Ar Excitation 15.35 eV,9.46271,2.59194e-17,385.87
C40 Ar Excitation 15.35 eV,9.84924,3.26722e-17,429.822
C40 Ar Excitation 15.35 eV,10.2604,4.05162e-17,476.149
C40 Ar Excitation 15.35 eV,10.6991,4.95362e-17,524.851
