process,mean_energy_eV,rate_coefficient_m3_s,EoverN_Td
C9 Ar Excitation 13.15 eV,3.52837,2.67171e-30,2.18787
C9 Ar Excitation 13.15 eV,5.08509,8.33476e-22,5.75149
C9 Ar Excitation 13.15 eV,5.39609,5.83668e-20,11.6908
C9 Ar Excitation 13.15 eV,5.62479,3.94105e-19,20.0059
C9 Ar Excitation 13.15 eV,5.85972,1.23748e-18,30.6968
C9 Ar Excitation 13.15 eV,6.09482,2.70714e-18,43.7634
C9 Ar Excitation 13.15 eV,6.32848,4.8289e-18,59.2057
C9 Ar Excitation 13.15 eV,6.56248,7.57794e-18,77.0238
C9 Ar Excitation 13.15 eV,6.80014,1.09135e-17,97.2176
C9 Ar Excitation 13.15 eV,7.04422,1.4788e-17,119.787
C9 Ar Excitation 13.15 eV,7.29691,1.91587e-17,144.732
C9 Ar Excitation 13.15 eV,7.56043,2.39799e-17,172.054
C9 Ar Excitation 13.15 eV,7.83628,2.91996e-17,201.75
C9 Ar Excitation 13.15 eV,8.12637,3.47755e-17,233.823
C9 Ar Excitation 13.15 eV,8.43263,4.0664e-17,268.271
C9 Ar Excitation 13.15 eV,8.756,4.68293e-17,305.095
C9 Ar Excitation 13.15 eV,9.09866,5.32286e-17,344.295
C9 Ar Excitation 13.15 eV,9.46271,5.98314e-17,385.87
C9 Ar Excitation 13.15 eV,9.84924,6.65831e-17,429.822
C9 Ar Excitation 13.15 eV,10.2604,7.34496e-17,476.149
C9 Ar Excitation 13.15 eV,10.6991,8.0409e-17,524.851
C9 Ar Excitation 13.15 eV,11.1681,8.74147e-17,575.93
C9 Ar Excitation 13.15 eV,11.6671,9.43832e-17,629.384
C9 Ar Excitation 13.15 eV,12.2021,1.01338e-16,685.214
C9 Ar Excitation 13.15 eV,12.7745,1.08194e-16,743.42
C9 Ar Excitation 13.15 eV,13.3861,1.14896e-16,804.001
C9 Ar Excitation 13.15 eV,14.0422,1.21466e-16,866.958
C9 Ar Excitation 13.15 eV,14.7433,1.27801e-16,932.291
C9 Ar Excitation 13.15 eV,15.4923,1.33887e-16,1000.0
C10 Ar Excitation 13.17 eV,2.4075,0.0,1.0
C10 Ar Excitation 13.17 eV,3.52837,1.37011e-30,2.18787
C10 Ar Excitation 13.17 eV,5.08509,4.92989e-22,5.75149
C10 Ar Excitation 13.17 eV,5.39609,3.65415e-20,11.6908
C10 Ar Excitation 13.17 eV,5.62479,2.56171e-19,20.0059
C10 Ar Excitation 13.17 eV,5.85972,8.29783e-19,30.6968
C10 Ar Excitation 13.17 eV,6.09482,1.86658e-18,43.7634
C10 Ar Excitation 13.17 eV,6.32848,3.41702e-18,59.2057
C10 Ar Excitation 13.17 eV,6.56248,5.49641e-18,77.0238
C10 Ar Excitation 13.17 eV,6.80014,8.10673e-18,97.2176
C10 Ar Excitation 13.17 eV,7.04422,1.12425e-17,119.787
C10 Ar Excitation 13.17 eV,7.29691,1.48996e-17,144.732
C10 Ar Excitation 13.17 eV,7.56043,1.90695e-17,172.054
C10 Ar Excitation 13.17 eV,7.83628,2.37365e-17,201.75
C10 Ar Excitation 13.17 eV,8.12637,2.88901e-17,233.823
C10 Ar Excitation 13.17 eV,8.43263,3.4517e-17,268.271
C10 Ar Excitation 13.17 eV,8.756,4.06089e-17,305.095
